Institution,Datenset,Projekt
National Archives in Krakow,Cartographic collection - selected objects,BackToTheMap
National Archives in Krakow,Cartographic collection - selected objects,Paracosm - mindful maps
Jagiellonian Library,Średniowieczna astronomia / Medieval Astronomy,Loxper virtual guide
Jagiellonian Library,Chopin,
bpk-Bildagentur,Historische Porträtsammlung - Carte de Visite,Radikale Gespräche
Damast-und Frottiermuseum Großschönau,Schatzkammer der Damaste,Abstract Visioner
Deutsches Stuhlbaumuseum Rabenau,"Stile, Stühle, Meisterwerke",
Digitales Archiv Mathematischer Modelle,Digitales Archiv Mathematischer Modelle,Klingende Mathemodelle in VR
Forschungsbibliothek Gotha der Uni Erfurt,Georg Forsters Entdeckung der Südsee,
Gedenkstätte Bautzner Straße Dresden,DORT & HIER - Verschobenes Gedächtnis,
Herzogin Anna Amalia Bibliothek,Stadtplan von Paris aus dem Jahr 1739,Liquitecture
Herzogin Anna Amalia Bibliothek,Stadtplan von Paris aus dem Jahr 1739,Chronoscope Hamburg / Chronoscope World
Historische Schauweberei Braunsdorf,Webmuster und Textilmaschinen,webweb
Leibniz-Institut für Länderkunde Leipzig,Messtischblätter des Deutschen Reiches zur Provinz Schlesien,
Kadan City Museum,Franziskaner Kloster in Kaaden Innenräume der Klosterkirche,
Moravian Library in Brno,Maps and pictures of Brno,Loxper virtual guide
Moravian-Silesian Research Library in Ostrava,Wooden churches in Těšín Silesia,
Museum - Naturalienkabinett Waldenburg,Barocke Seesternsammlung,Radikale Gespräche
Museum für Naturkunde Berlin,Ehrenberg Zeichnungen / Ehrenberg Drawings,
Musikinstrumentenmuseum der Uni Leipzig,Vier Musikinstrumente aus vier Jahrhunderten,Klingende Mathemodelle in VR
Musikinstrumentenmuseum der Uni Leipzig,Vier Musikinstrumente aus vier Jahrhunderten,Silbermann Reloaded
Musikinstrumentenmuseum der Uni Leipzig,Vier Musikinstrumente aus vier Jahrhunderten,Chronoscope Hamburg / Chronoscope World
"Geological Museum, University of Wroclaw",Fossils from Sośnica,
National Museum in Wroclaw,The National Museum in Wrocław,
"University Museum, University of Wroclaw",Ceremonial academic dresses and colours,
National Library of the Czech Republic,Monuments of the Czech Republic in old pictures,
Naturkundemuseum Leipzig,Tagebücher der Museumsdirektoren 1932-1946,"#Tagmotion, Tags im Museum"
Ossolineum / Ossoliński National Institute,Wrocław - Dresden: Heritage and Urban History,
Regional Museum in Teplice,Josef Váchal's ex libris,
SLUB Dresden,Vermessen - Karten und Ansichten im Dreiländereck,
SAVE (SLUB Dresden),Privatfilme Hirsch,
Granitabbaumuseum Königshainer Berge,"Harte Arbeit, schwerer Stein",Ein Tag im Leben eines Steinarbeiters
Schlesisches Museum zu Görlitz,"Hinterglasbilder aus Kaiserswalde / Lasówka, 1750 - 1900",
Sorbisches Institut Bautzen,Satirische Darstellung einer gescheiterten Stadtflucht,
"Staatliche Schlösser, Burgen und Gärten Sachsen gGmbH",Radikale Muster – Spritzdekor-Keramik aus Colditz,Dackel in Trouble
"Staatliche Schlösser, Burgen und Gärten Sachsen gGmbH",Radikale Muster – Spritzdekor-Keramik aus Colditz,Fine Young Radicals
"Staatliche Schlösser, Burgen und Gärten Sachsen gGmbH",Radikale Muster – Spritzdekor-Keramik aus Colditz,Radikale Gespräche
Stadtgeschichtliches Museum Leipzig,Historische Daguerreotypien,
Stiftung Deutsches Technikmuseum Berlin,Hammer-Sammlung Ludwig Thome,HAMMERLORD
Stiftung Deutsches Technikmuseum Berlin,Hammer-Sammlung Ludwig Thome,#hammerpairs
Stiftung Kraftwerk Hirschfelde,Pläne und Fotos Kraftwerk Hirschfelde,Old photos become influencers
Stiftung Kraftwerk Hirschfelde,Pläne und Fotos Kraftwerk Hirschfelde,Chronoscope Hamburg / Chronoscope World
Education and Research Library of the Pilsen Region,German-language periodicals published in Pilsen,
Education and Research Library of the Pilsen Region,Personalities of the Pilsen Region,
Universitätsbibliothek Chemnitz,Illustrierte Modezeitschriften aus dem 19. Jahrhundert,
Universitätsbibliothek Leipzig,Münzsammlung der UB Leipzig,Wishing Well
Universitätsbibliothek TU Bergakademie Freiberg,Uniformen nach dem Freiberger Fuß 1768,
University of Wroclaw - Institute of Art History,19th century churches in Silesia and their furnishings,
Verein für Computergenealogie,"Casualty lists of the First World War - Saxony, Poland, Czechia",
ZCOM Zuse-Computer-Museum,Zuse-Rechner,UHF-converter
ZCOM Zuse-Computer-Museum,Bauelementesammlung der DDR in Streichholzschachteln,